nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
1001,JR002,Susu ibu - ASI,Susu,Mentah (Raw),88.1 g,62 Kal,1.5 g,3.2 g,7.0 g,0.2 g,34 mg,20 mg,0.2 mg,15 mg,41.0 mg,0.01 mg,0.4 mg,0.03 mg,0.2 mg,0.0 g,,7 mcg,,0.01 mg,
1002,JR003,"Susu kambing, segar",Susu,Mentah (Raw),85.9 g,64 Kal,4.3 g,2.3 g,6.6 g,0.9 g,98 mg,78 mg,2.7 mg,35 mg,160.0 mg,0.33 mg,0.1 mg,0.45 mg,0.3 mg,0.0 g,38 mcg,0 mcg,,0.06 mg,1 mg
1003,CP060,Susu kedelai,Kacang-Kacangan,Olahan (Processed),87.0 g,41 Kal,3.5 g,2.5 g,5.0 g,2.0 g,50 mg,45 mg,0.7 mg,128 mg,287.9 mg,0.12 mg,1.0 mg,0.05 mg,0.7 mg,0.2 g,,,200 mcg,0.08 mg,2 mg
1004,JP007,Susu kental manis,Susu,Olahan (Processed),25.0 g,343 Kal,8.2 g,10.0 g,55.0 g,1.8 g,275 mg,209 mg,0.2 mg,150 mg,320.0 mg,0.02 mg,1.0 mg,0.43 mg,0.4 mg,0.0 g,155 mcg,46 mcg,,0.05 mg,1 mg
1005,JP008,Susu kental tak manis,Susu,Olahan (Processed),73.7 g,138 Kal,7.0 g,7.9 g,9.9 g,1.5 g,243 mg,195 mg,0.2 mg,140 mg,303.0 mg,,,,0.0 mg,,121 mcg,,,0.05 mg,1 mg
1006,JR004,"Susu kerbau, segar",Susu,Mentah (Raw),73.8 g,160 Kal,6.3 g,12.0 g,7.1 g,0.8 g,216 mg,101 mg,0.2 mg,82 mg,,,0.3 mg,0.07 mg,,,24 mcg,,,0.04 mg,1 mg
1007,JR005,"Susu kuda, segar",Susu,Mentah (Raw),91.0 g,40 Kal,2.0 g,1.1 g,5.4 g,0.4 g,,,,,37.4 mg,0.00 mg,0.0 mg,0.20 mg,0.2 mg,0.0 g,,1 mcg,,0.00 mg,
1008,JR006,"Susu sapi, segar",Susu,Mentah (Raw),88.3 g,61 Kal,3.2 g,3.5 g,4.3 g,0.7 g,143 mg,60 mg,1.7 mg,36 mg,149.0 mg,0.02 mg,0.3 mg,0.18 mg,0.2 mg,0.0 g,39 mcg,12 mcg,,0.03 mg,1 mg
1009,JP009,"Susu skim, bubuk",Susu,Olahan (Processed),3.5 g,359 Kal,35.6 g,1.0 g,52.0 g,7.9 g,"1,300 mg","1,030 mg",0.6 mg,470 mg,"1,745.0 mg",0.04 mg,4.1 mg,1.05 mg,1.2 mg,0.0 g,,10 mcg,,0.35 mg,7 mg
1010,JP010,"Susu skim, segar",Susu,Olahan (Processed),90.5 g,36 Kal,3.5 g,0.1 g,5.1 g,0.8 g,123 mg,97 mg,0.1 mg,38 mg,,,,,,,0 mcg,,,0.04 mg,1 mg
1011,BP009,"Suweg, talas, kukus",Umbi Berpati,Olahan (Processed),75.5 g,93 Kal,1.5 g,0.1 g,21.9 g,1.0 g,50 mg,58 mg,0.8 mg,6 mg,350.3 mg,0.10 mg,0.1 mg,0.00 mg,0.3 mg,0.9 g,0 mcg,0 mcg,283 mcg,0.09 mg,0 mg
1012,BR024,"Suweg, talas, segar (Elephant yam)",Umbi Berpati,Mentah (Raw),80.1 g,74 Kal,1.4 g,0.1 g,17.2 g,1.2 g,42 mg,46 mg,1.3 mg,7 mg,400.0 mg,0.10 mg,0.1 mg,0.00 mg,0.4 mg,1.4 g,0 mcg,24 mcg,254 mcg,0.04 mg,2 mg
1013,AP109,Suwir-suwir,Serealia,Olahan (Processed),13.4 g,347 Kal,0.5 g,0.9 g,84.2 g,1.0 g,42 mg,40 mg,4.3 mg,,,,,,0.9 mg,0.8 g,1 mcg,,240 mcg,0.13 mg,0 mg
1014,CP062,Tahu goreng,Kacang-Kacangan,Olahan (Processed),77.3 g,115 Kal,9.7 g,8.5 g,2.5 g,2.0 g,229 mg,200 mg,4.1 mg,7 mg,68.2 mg,0.09 mg,1.3 mg,0.24 mg,0.0 mg,0.1 g,,0 mcg,0 mcg,0.01 mg,0 mg
1015,CP063,Tahu telur,Kacang-Kacangan,Olahan (Processed),41.8 g,328 Kal,12.6 g,19.9 g,24.6 g,1.1 g,492 mg,238 mg,4.9 mg,755 mg,,,,,,0.4 g,73 mcg,,"1,860 mcg",0.42 mg,0 mg
1016,CP061,"Tahu, mentah",Kacang-Kacangan,Olahan (Processed),82.2 g,80 Kal,10.9 g,4.7 g,0.8 g,1.4 g,223 mg,183 mg,3.4 mg,2 mg,50.6 mg,0.19 mg,0.8 mg,0.08 mg,0.1 mg,0.1 g,,118 mcg,,0.01 mg,
1017,CP064,Takwa,Kacang-Kacangan,Olahan (Processed),72.2 g,148 Kal,13.8 g,8.5 g,4.0 g,1.6 g,140 mg,214 mg,8.5 mg,3 mg,79.0 mg,0.30 mg,1.3 mg,0.10 mg,0.8 mg,0.0 g,,,920 mcg,0.20 mg,
1018,BP010,"Talas bogor, kukus",Umbi Berpati,Olahan (Processed),69.2 g,120 Kal,1.5 g,0.3 g,28.2 g,0.8 g,31 mg,63 mg,0.7 mg,11 mg,498.0 mg,0.20 mg,0.6 mg,0.60 mg,0.8 mg,0.7 g,0 mcg,0 mcg,0 mcg,0.05 mg,2 mg
1019,BR025,"Talas bogor, segar (Taro, bogor, fresh)",Umbi Berpati,Mentah (Raw),72.4 g,108 Kal,1.4 g,0.4 g,25.0 g,0.8 g,47 mg,67 mg,0.7 mg,10 mg,448.0 mg,0.20 mg,0.7 mg,0.07 mg,1.0 mg,0.9 g,0 mcg,0 mcg,0 mcg,0.06 mg,4 mg
1020,BR026,"Talas pontianak, segar (Taro, pontianak, fresh)",Umbi Berpati,Mentah (Raw),60.0 g,163 Kal,2.3 g,0.5 g,36.4 g,0.9 g,45 mg,80 mg,1.7 mg,14 mg,323.1 mg,0.30 mg,1.0 mg,0.10 mg,1.3 mg,0.7 g,0 mcg,0 mcg,0 mcg,0.02 mg,
1021,BR027,"Talas viqueque, segar",Umbi Berpati,Mentah (Raw),70.6 g,115 Kal,1.8 g,0.5 g,25.9 g,1.2 g,50 mg,220 mg,0.9 mg,1 mg,70.0 mg,0.30 mg,1.0 mg,0.10 mg,0.9 mg,8.6 g,0 mcg,0 mcg,0 mcg,0.08 mg,
1022,DR149,"Taoge kacang kedelai, segar (Soya bean, sprout, fresh)",Sayuran,Mentah (Raw),81.0 g,76 Kal,9.0 g,2.6 g,6.4 g,1.0 g,50 mg,65 mg,1.0 mg,5 mg,212.4 mg,0.26 mg,0.7 mg,0.19 mg,1.2 mg,0.7 g,,0 mcg,110 mcg,0.23 mg,15 mg
1023,DR150,"Taoge kacang tunggak, segar (southern pea, fresh)",Sayuran,Mentah (Raw),88.0 g,40 Kal,5.0 g,0.2 g,5.8 g,1.0 g,57 mg,88 mg,1.0 mg,2 mg,226.8 mg,0.07 mg,0.5 mg,0.08 mg,0.8 mg,2.6 g,,299 mcg,0 mcg,0.07 mg,15 mg
1024,DP017,"Taoge, goreng",Sayuran,Olahan (Processed),79.2 g,88 Kal,3.2 g,2.1 g,14.0 g,1.5 g,168 mg,50 mg,5.7 mg,,,,,,,0.7 g,2 mcg,,613 mcg,0.05 mg,0 mg
1025,DP018,"Taoge, seduh",Sayuran,Olahan (Processed),91.9 g,28 Kal,3.0 g,0.8 g,4.0 g,0.3 g,52 mg,73 mg,0.5 mg,18 mg,58.3 mg,0.19 mg,0.4 mg,0.00 mg,0.9 mg,1.0 g,,46 mcg,18 mcg,0.10 mg,2 mg
1026,DR148,"Taoge, segar (Mung bean, sprout, fresh)",Sayuran,Mentah (Raw),90.4 g,34 Kal,3.7 g,1.2 g,4.3 g,0.4 g,166 mg,74 mg,0.8 mg,19 mg,93.3 mg,0.16 mg,0.4 mg,0.15 mg,1.1 mg,1.1 g,,41 mcg,20 mcg,0.09 mg,5 mg
1027,AP003,Tapai beras,Serealia,Olahan (Processed),75.5 g,99 Kal,1.7 g,0.3 g,22.4 g,0.1 g,4 mg,19 mg,0.0 mg,26 mg,2.0 mg,0.10 mg,0.5 mg,0.00 mg,0.0 mg,0.0 g,0 mcg,0 mcg,0 mcg,0.00 mg,0 mg
1028,AP016,Tapai ketan hitam,Serealia,Olahan (Processed),50.2 g,166 Kal,3.8 g,1.0 g,34.4 g,0.6 g,8 mg,106 mg,1.6 mg,5 mg,12.0 mg,,,,,0.3 g,,,0 mcg,0.02 mg,0 mg
1029,AP018,Tapai ketan putih,Serealia,Olahan (Processed),58.9 g,172 Kal,3.0 g,0.5 g,37.5 g,0.1 g,6 mg,35 mg,0.5 mg,1 mg,,,,0.00 mg,0.2 mg,0.6 g,0 mcg,0 mcg,0 mcg,0.04 mg,0 mg
1030,BP063,Tapai singkong,Umbi Berpati,Olahan (Processed),57.4 g,169 Kal,1.4 g,0.3 g,40.2 g,0.7 g,21 mg,34 mg,0.8 mg,,,,,,,2.0 g,0 mcg,0 mcg,0 mcg,0.00 mg,9 mg
1031,CP065,Tauco,Kacang-Kacangan,Olahan (Processed),54.0 g,184 Kal,11.4 g,5.5 g,22.2 g,6.9 g,72 mg,463 mg,6.0 mg,"1,766 mg",233.0 mg,0.39 mg,1.0 mg,0.20 mg,0.8 mg,1.9 g,,0 mcg,664 mcg,0.32 mg,0 mg
1032,CP066,"Tauco cap beruang, cake",Kacang-Kacangan,Olahan (Processed),11.4 g,347 Kal,7.4 g,5.2 g,67.6 g,8.4 g,63 mg,106 mg,6.2 mg,,,,,,,3.2 g,,,936 mcg,0.35 mg,0 mg
1033,CP067,"Tauco cap DAS, cake",Kacang-Kacangan,Olahan (Processed),10.2 g,358 Kal,7.5 g,4.3 g,70.4 g,7.6 g,94 mg,94 mg,4.5 mg,,,,,,,3.1 g,,,504 mcg,0.29 mg,0 mg
1034,CP068,Tauco cap meong,Kacang-Kacangan,Olahan (Processed),59.7 g,159 Kal,7.4 g,4.9 g,21.3 g,6.7 g,183 mg,84 mg,10.1 mg,"1,547 mg",204.1 mg,0.34 mg,0.9 mg,0.18 mg,0.7 mg,1.6 g,,0 mcg,472 mcg,0.46 mg,0 mg
1035,CP069,Tauji cap singa,Kacang-Kacangan,Olahan (Processed),30.4 g,277 Kal,9.1 g,4.7 g,49.6 g,6.2 g,68 mg,106 mg,3.0 mg,,,,,,,1.2 g,,,936 mcg,0.15 mg,0 mg
1036,DR151,"Tebu terubuk (lilin), segar",Sayuran,Mentah (Raw),91.0 g,30 Kal,4.6 g,0.4 g,3.0 g,1.0 g,40 mg,80 mg,2.0 mg,699 mg,,0.20 mg,1.1 mg,0.20 mg,1.2 mg,0.8 g,,12 mcg,0 mcg,0.08 mg,50 mg
1037,FP086,"Tedong pallu basa, masakan",Daging,Olahan (Processed),81.7 g,83 Kal,10.4 g,3.4 g,2.8 g,1.7 g,10 mg,139 mg,2.6 mg,397 mg,34.0 mg,0.60 mg,1.3 mg,0.53 mg,9.0 mg,,,,,0.09 mg,0 mg
1038,MP016,"Teh hijau daun kering (Tea, leaf, green, dried)",Konfeksioneri,Olahan (Processed),7.7 g,300 Kal,28.3 g,4.8 g,53.6 g,5.6 g,245 mg,415 mg,18.9 mg,60 mg,"5,873.9 mg",0.50 mg,0.0 mg,1.24 mg,4.6 mg,9.6 g,,"8,400 mcg",,0.38 mg,230 mg
1039,MP017,"Teh hitam daun kering (tea, leaf, black, dried)",Konfeksioneri,Olahan (Processed),8.0 g,293 Kal,24.5 g,2.8 g,58.8 g,5.9 g,327 mg,313 mg,24.3 mg,50 mg,"5,854.8 mg",0.00 mg,0.0 mg,0.80 mg,7.6 mg,8.7 g,0 mcg,"2,700 mcg",,0.07 mg,9 mg
1040,MP018,"Teh melati daun kering (Tea, jasmine, black, dried)",Konfeksioneri,Olahan (Processed),8.1 g,299 Kal,24.1 g,3.5 g,59.0 g,5.3 g,320 mg,185 mg,31.6 mg,70 mg,"5,848.4 mg",0.53 mg,0.0 mg,0.79 mg,7.3 mg,9.7 g,0 mcg,"8,400 mcg",,0.07 mg,85 mg
1041,DR153,"Tekokak, kering (Devil�s fig, dried)",Sayuran,Mentah (Raw),12.3 g,302 Kal,8.3 g,1.7 g,72.6 g,8.1 g,370 mg,180 mg,22.2 mg,9 mg,0.0 mg,"1,044.20 mg",1.0 mg,0.17 mg,5.1 mg,21.2 g,,187 mcg,750 mcg,0.40 mg,0 mg
1042,DR152,"Tekokak, segar (Devil�s fig,fresh)",Sayuran,Mentah (Raw),89.0 g,34 Kal,2.0 g,0.1 g,7.9 g,1.0 g,50 mg,30 mg,2.0 mg,3 mg,333.3 mg,0.12 mg,0.2 mg,0.05 mg,0.9 mg,4.9 g,,23 mcg,750 mcg,0.08 mg,8 mg
1043,GP092,"Tekwan, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),86.7 g,53 Kal,1.9 g,0.9 g,9.4 g,1.1 g,9 mg,41 mg,1.0 mg,174 mg,42.0 mg,0.00 mg,0.0 mg,0.02 mg,0.4 mg,,99 mcg,,,0.10 mg,
1044,HR004,"Telur aAyam ras, bagian putih, segar (Domestic chicken, egg, white, raw)",Telur,Mentah (Raw),87.8 g,50 Kal,10.8 g,0.0 g,0.8 g,0.6 g,6 mg,17 mg,0.2 mg,164 mg,138.5 mg,0.03 mg,0.4 mg,0.26 mg,0.4 mg,0.0 g,0 mcg,0 mcg,,0.00 mg,0 mg
1045,HR001,"Telur ayam kampung, segar (Feral chicken, egg, fresh)",Telur,Mentah (Raw),73.1 g,174 Kal,10.8 g,14.0 g,1.2 g,0.9 g,68 mg,268 mg,4.9 mg,190 mg,141.0 mg,0.60 mg,1.5 mg,0.62 mg,0.2 mg,0.0 g,203 mcg,23 mcg,125 mcg,0.78 mg,
1046,HR003,"Telur ayam ras, bagian kuning, segar (Domestic chicken, egg, yolk, raw)",Telur,Mentah (Raw),49.4 g,355 Kal,16.3 g,31.9 g,0.7 g,1.7 g,147 mg,586 mg,7.2 mg,111 mg,107.5 mg,0.20 mg,2.5 mg,0.51 mg,0.2 mg,0.0 g,606 mcg,63 mcg,,0.27 mg,0 mg
1047,HR002,"Telur ayam ras, segar (Domestic chicken, egg, fresh)",Telur,Mentah (Raw),74.3 g,154 Kal,12.4 g,10.8 g,0.7 g,0.8 g,86 mg,258 mg,3.0 mg,142 mg,118.5 mg,0.16 mg,1.0 mg,0.38 mg,0.2 mg,0.0 g,61 mcg,22 mcg,104 mcg,0.12 mg,0 mg
1048,HP001,"Telur ayam, dadar, masakan",Telur,Olahan (Processed),61.9 g,251 Kal,16.3 g,19.4 g,1.4 g,1.0 g,62 mg,250 mg,2.5 mg,,,,,0.00 mg,,0.0 g,36 mcg,,221 mcg,0.21 mg,0 mg
1049,HR005,"Telur bebek alabio, segar (Duck, alabio, egg, fresh)",Telur,Mentah (Raw),70.0 g,187 Kal,11.8 g,14.2 g,3.0 g,1.0 g,60 mg,268 mg,6.0 mg,115 mg,80.0 mg,0.60 mg,1.7 mg,0.37 mg,0.1 mg,0.0 g,180 mcg,437 mcg,,1.55 mg,
1050,HR008,"Telur bebek tambak, segar (Domestic duck, egg, fresh)",Telur,Mentah (Raw),67.7 g,187 Kal,10.9 g,12.4 g,7.9 g,1.1 g,64 mg,295 mg,5.4 mg,209 mg,146.0 mg,0.40 mg,1.8 mg,0.03 mg,0.1 mg,0.0 g,378 mcg,471 mcg,375 mcg,1.62 mg,
1051,HP002,"Telur bebek, asin, mentah (Duck, egg, salted, raw)",Telur,Olahan (Processed),66.5 g,179 Kal,13.6 g,13.3 g,4.4 g,2.2 g,120 mg,157 mg,1.8 mg,483 mg,140.1 mg,,,0.98 mg,0.6 mg,0.0 g,253 mcg,13 mcg,,0.28 mg,0 mg
1052,HR006,"Telur bebek, bagian kuning, segar (Duck, egg, yolk, fresh)",Telur,Mentah (Raw),47.0 g,386 Kal,17.0 g,35.0 g,0.8 g,0.2 g,150 mg,400 mg,7.0 mg,106 mg,90.7 mg,0.09 mg,2.5 mg,0.68 mg,1.4 mg,0.0 g,870 mcg,747 mcg,,0.60 mg,0 mg
1053,HR007,"Telur bebek, bagian putih, segar (Duck, egg, white, fresh)",Telur,Mentah (Raw),88.0 g,54 Kal,11.0 g,0.0 g,0.8 g,0.2 g,21 mg,20 mg,0.1 mg,184 mg,150.2 mg,0.13 mg,0.1 mg,0.02 mg,0.1 mg,0.0 g,0 mcg,0 mcg,,0.01 mg,0 mg
1054,HP003,"Telur bebek, dadar, masakan",Telur,Olahan (Processed),55.1 g,301 Kal,20.0 g,23.7 g,0.0 g,1.2 g,71 mg,600 mg,9.2 mg,,,,,,,0.0 g,122 mcg,,613 mcg,0.35 mg,0 mg
1055,HR009,"Telur burung maleo, segar (Maleo, bird, egg , fresh)",Telur,Mentah (Raw),36.0 g,436 Kal,26.5 g,36.3 g,0.4 g,0.8 g,154 mg,120 mg,4.3 mg,77 mg,333.0 mg,0.40 mg,2.9 mg,1.00 mg,0.2 mg,,"3,987 mcg",,,,
1056,HR011,"Telur burung puyuh, segar (Quail, egg, fress)",Telur,Mentah (Raw),79.8 g,116 Kal,10.7 g,7.0 g,1.6 g,0.9 g,65 mg,191 mg,3.5 mg,111 mg,11.0 mg,0.05 mg,1.2 mg,0.65 mg,0.1 mg,0.0 g,95 mcg,80 mcg,,0.13 mg,0 mg
1057,HR010,"Telur penyu, segar (Turtle, egg)",Telur,Mentah (Raw),7.4 g,136 Kal,8.6 g,10.1 g,2.7 g,1.2 g,66 mg,282 mg,3.4 mg,478 mg,115.0 mg,0.50 mg,1.4 mg,0.02 mg,0.0 mg,0.0 g,82 mcg,17 mcg,,0.21 mg,0 mg
1058,CP070,Tempe bongkrek,Kacang-Kacangan,Olahan (Processed),72.5 g,119 Kal,4.4 g,3.5 g,18.3 g,146.3 g,27 mg,100 mg,2.6 mg,,,,,,,,0 mcg,,,0.08 mg,0 mg
1059,CP071,Tempe gembus P3G,Kacang-Kacangan,Olahan (Processed),81.9 g,73 Kal,5.7 g,1.3 g,10.3 g,0.8 g,204 mg,80 mg,1.5 mg,,,,,0.10 mg,0.9 mg,4.2 g,,,22 mcg,0.09 mg,
1060,CP072,Tempe gembus yogya,Kacang-Kacangan,Olahan (Processed),80.7 g,76 Kal,6.8 g,0.7 g,10.6 g,1.1 g,76 mg,142 mg,16.5 mg,,,,,0.01 mg,0.1 mg,5.3 g,,,,0.79 mg,
1061,CP073,Tempe kacang babi,Kacang-Kacangan,Olahan (Processed),64.0 g,139 Kal,12.5 g,0.8 g,21.9 g,1.2 g,68 mg,182 mg,2.6 mg,,,,,,,1.8 g,,,20 mcg,0.10 mg,
1062,CP074,Tempe kacang belimbing,Kacang-Kacangan,Olahan (Processed),58.2 g,212 Kal,17.5 g,10.0 g,12.9 g,1.4 g,186 mg,160 mg,2.2 mg,,,,,,,2.9 g,,,,0.20 mg,
1063,CP075,Tempe kedelai + jagung,Kacang-Kacangan,Olahan (Processed),70.6 g,143 Kal,12.0 g,5.5 g,11.4 g,0.6 g,155 mg,156 mg,6.8 mg,,,,,0.15 mg,1.2 mg,1.9 g,,,"1,320 mcg",0.33 mg,
1064,CP076,"Tempe kedelai murni, goreng",Kacang-Kacangan,Olahan (Processed),36.8 g,350 Kal,24.5 g,26.6 g,10.4 g,1.8 g,202 mg,296 mg,4.9 mg,22 mg,626.7 mg,0.80 mg,2.5 mg,0.60 mg,3.3 mg,4.2 g,,,78 mcg,0.24 mg,0 mg
1065,CP077,"Tempe kedelai murni, mentah",Kacang-Kacangan,Olahan (Processed),55.3 g,201 Kal,20.8 g,8.8 g,13.5 g,1.6 g,155 mg,326 mg,4.0 mg,9 mg,234.0 mg,0.57 mg,1.7 mg,0.59 mg,4.9 mg,1.4 g,,0 mcg,,0.19 mg,
1066,CP078,Tempe koro benguk,Kacang-Kacangan,Olahan (Processed),64.0 g,141 Kal,10.2 g,1.3 g,23.2 g,1.3 g,42 mg,15 mg,2.6 mg,,,,,,,,0 mcg,,,0.09 mg,0 mg
1067,CP079,Tempe lamtoro,Kacang-Kacangan,Olahan (Processed),66.8 g,128 Kal,10.7 g,0.5 g,21.3 g,0.7 g,203 mg,108 mg,0.6 mg,,,,,,,7.1 g,,,121 mcg,0.17 mg,2 mg
1068,CP080,Tempe lamtoro var. gung dengan kulit,Kacang-Kacangan,Olahan (Processed),65.1 g,146 Kal,11.7 g,2.3 g,19.6 g,1.3 g,128 mg,41 mg,6.8 mg,,,,,,1.4 mg,7.6 g,,,"1,370 mcg",0.19 mg,
1069,CP081,Tempe lamtoro var. gung tanpa kulit,Kacang-Kacangan,Olahan (Processed),67.1 g,131 Kal,18.0 g,0.8 g,13.0 g,1.1 g,95 mg,154 mg,12.4 mg,,,,,0.02 mg,2.6 mg,1.3 g,,,"5,900 mcg",0.20 mg,
1070,CP082,Tempe pasar,Kacang-Kacangan,Olahan (Processed),68.3 g,150 Kal,14.0 g,7.7 g,9.1 g,0.9 g,517 mg,202 mg,1.5 mg,7 mg,165.9 mg,0.40 mg,1.2 mg,0.44 mg,3.6 mg,1.4 g,,0 mcg,,0.17 mg,
1071,CP083,Tempe pasar goreng,Kacang-Kacangan,Olahan (Processed),42.9 g,336 Kal,20.0 g,28.0 g,7.8 g,1.3 g,156 mg,350 mg,3.0 mg,20 mg,566.2 mg,0.80 mg,2.2 mg,0.50 mg,3.0 mg,3.4 g,,,10 mcg,0.10 mg,0 mg
1072,NP010,"Tempoya (durian, fermented)",Bumbu,Olahan (Processed),70.1 g,110 Kal,1.7 g,1.3 g,21.9 g,5.0 g,190 mg,45 mg,2.9 mg,597 mg,486.3 mg,,,0.04 mg,1.1 mg,2.6 g,,71 mcg,,0.30 mg,0 mg
1073,BP064,Tepung Arrowroot,Umbi Berpati,Olahan (Processed),13.6 g,355 Kal,0.7 g,0.2 g,85.2 g,0.3 g,8 mg,22 mg,1.5 mg,2 mg,10.7 mg,0.00 mg,0.1 mg,0.00 mg,0.0 mg,0.4 g,,20 mcg,3 mcg,0.09 mg,0 mg
1074,AP004,"Tepung beras, mentah",Serealia,Olahan (Processed),12.0 g,353 Kal,7.0 g,0.5 g,80.0 g,0.5 g,5 mg,140 mg,0.8 mg,5 mg,241.0 mg,0.10 mg,0.8 mg,0.10 mg,1.2 mg,2.4 g,0 mcg,0 mcg,0 mcg,0.12 mg,0 mg
1075,BP065,Tepung Ganyong,Umbi Berpati,Olahan (Processed),13.6 g,353 Kal,0.8 g,1.7 g,83.6 g,0.3 g,4 mg,31 mg,3.3 mg,3 mg,63.5 mg,0.10 mg,0.3 mg,0.00 mg,0.9 mg,0.7 g,,0 mcg,0 mcg,0.02 mg,1 mg
1076,BP066,Tepung Gaplek,Umbi Berpati,Olahan (Processed),13.0 g,345 Kal,2.4 g,0.4 g,83.1 g,1.1 g,18 mg,95 mg,1.5 mg,6 mg,55.0 mg,0.40 mg,1.2 mg,0.20 mg,0.1 mg,6.7 g,,1 mcg,0 mcg,0.30 mg,0 mg
1077,CP084,Tepung hunkwe (pati kacang ijo),Kacang-Kacangan,Olahan (Processed),10.0 g,364 Kal,4.5 g,1.0 g,83.5 g,1.0 g,50 mg,100 mg,1.0 mg,15 mg,"1,232.9 mg",0.93 mg,2.7 mg,0.23 mg,2.2 mg,16.1 g,0 mcg,,,0.00 mg,0 mg
1078,AP013,Tepung jagung putih,Serealia,Olahan (Processed),12.0 g,355 Kal,9.2 g,3.9 g,73.7 g,1.2 g,10 mg,256 mg,2.4 mg,11 mg,24.4 mg,0.23 mg,1.7 mg,0.02 mg,0.3 mg,7.2 g,,0 mcg,0 mcg,0.38 mg,
1079,CP085,Tepung Jalejo,Kacang-Kacangan,Olahan (Processed),10.0 g,388 Kal,19.0 g,7.5 g,61.2 g,2.3 g,101 mg,663 mg,2.0 mg,3 mg,712.0 mg,0.60 mg,1.9 mg,0.70 mg,1.6 mg,5.8 g,,"1,000 mcg",0 mcg,0.02 mg,9 mg
1080,CP086,Tepung kacang kedelai,Kacang-Kacangan,Olahan (Processed),9.0 g,347 Kal,35.9 g,20.6 g,29.9 g,4.0 g,195 mg,544 mg,8.4 mg,52 mg,"2,522.6 mg","4,303.45 mg",2.6 mg,0.32 mg,2.1 mg,5.8 g,,0 mcg,140 mcg,0.77 mg,0 mg
1081,BP067,"Tepung kentang, kering",Umbi Berpati,Olahan (Processed),13.0 g,347 Kal,0.3 g,0.1 g,85.6 g,1.0 g,20 mg,30 mg,0.5 mg,51 mg,156.3 mg,0.20 mg,0.5 mg,0.00 mg,0.4 mg,0.4 g,,0 mcg,0 mcg,0.04 mg,0 mg
1082,BP068,Tepung Mocaf,Umbi Berpati,Olahan (Processed),11.9 g,350 Kal,1.2 g,0.6 g,85.0 g,1.3 g,60 mg,64 mg,15.8 mg,8 mg,403.0 mg,0.10 mg,0.6 mg,0.02 mg,0.7 mg,6.0 g,,0 mcg,0 mcg,0.02 mg,2 mg
1083,EP014,Tepung Pisang,Buah,Olahan (Processed),13.8 g,338 Kal,2.9 g,0.4 g,80.6 g,2.1 g,23 mg,62 mg,4.0 mg,18 mg,734.0 mg,0.10 mg,0.5 mg,0.02 mg,1.0 mg,5.3 g,,13 mcg,1 mcg,0.02 mg,2 mg
1084,BP069,Tepung Sente,Umbi Berpati,Olahan (Processed),15.3 g,326 Kal,4.0 g,0.4 g,76.7 g,3.6 g,41 mg,141 mg,3.5 mg,14 mg,"1,602.0 mg",0.40 mg,1.4 mg,0.20 mg,7.7 mg,8.5 g,,0 mcg,0 mcg,0.02 mg,0 mg
1085,BP070,Tepung singkong/ Tapioka,Umbi Berpati,Olahan (Processed),9.1 g,363 Kal,1.1 g,0.5 g,88.2 g,1.1 g,84 mg,125 mg,1.0 mg,1 mg,7.1 mg,0.00 mg,0.1 mg,0.00 mg,0.4 mg,0.9 g,,0 mcg,,0.04 mg,0 mg
1086,EP015,Tepung Sukun,Buah,Olahan (Processed),10.1 g,353 Kal,2.9 g,0.5 g,84.4 g,2.1 g,100 mg,85 mg,4.6 mg,9 mg,"2,008.0 mg",0.10 mg,0.6 mg,0.02 mg,0.1 mg,3.7 g,,0 mcg,0 mcg,0.40 mg,3 mg
1087,BP071,Tepung Tales Beneng,Umbi Berpati,Olahan (Processed),12.2 g,332 Kal,5.7 g,0.6 g,76.1 g,5.5 g,59 mg,302 mg,10.7 mg,7 mg,"1,404.0 mg",0.80 mg,6.2 mg,0.10 mg,0.3 mg,12.2 g,,0 mcg,0 mcg,0.02 mg,0 mg
1088,AP025,Tepung terigu,Serealia,Olahan (Processed),11.8 g,333 Kal,9.0 g,1.0 g,77.2 g,1.0 g,22 mg,150 mg,1.3 mg,2 mg,0.0 mg,0.00 mg,2.8 mg,0.07 mg,1.0 mg,0.3 g,0 mcg,0 mcg,0 mcg,0.10 mg,0 mg
1089,BP072,Tepung Ubi Ungu,Umbi Berpati,Olahan (Processed),9.4 g,354 Kal,2.8 g,0.6 g,84.4 g,2.8 g,89 mg,125 mg,3.9 mg,42 mg,940.0 mg,0.80 mg,0.6 mg,0.02 mg,0.0 mg,12.9 g,,0 mcg,0 mcg,0.40 mg,0 mg
